date,open,close,high,low
2025-12-17,79.710,80.470,80.920,79.380
2025-12-18,80.270,79.830,80.610,79.510
2025-12-19,79.850,79.450,79.900,78.800
2025-12-22,79.300,79.160,79.790,78.900
2025-12-23,79.380,79.650,80.310,79.020
2025-12-24,79.430,78.800,79.940,78.760
2025-12-25,78.520,78.590,78.880,78.180
2025-12-26,78.590,78.870,79.070,78.550
2025-12-29,78.790,78.410,79.720,78.250
2025-12-30,78.160,78.850,79.380,78.120
2025-12-31,78.870,78.150,80.280,77.850
2026-01-05,80.040,78.680,80.500,78.250
2026-01-06,78.580,78.840,79.490,77.390
2026-01-07,78.990,79.370,79.580,78.060
2026-01-08,79.370,79.030,79.480,78.310
2026-01-09,79.600,79.770,79.950,79.300
2026-01-12,79.780,78.620,79.790,77.810
2026-01-13,77.900,76.200,78.000,76.100
2026-01-14,76.200,77.150,77.630,75.910
2026-01-15,77.460,77.220,78.050,76.890
2026-01-16,77.250,77.310,77.850,77.150
2026-01-19,77.370,77.620,78.140,77.050
2026-01-20,77.660,79.000,79.370,77.200
2026-01-21,78.960,77.780,78.960,77.550
2026-01-22,78.250,77.490,78.260,77.370
2026-01-23,77.570,76.780,77.790,76.710
2026-01-26,76.800,76.350,77.870,76.020
2026-01-27,76.400,76.100,77.100,75.920
2026-01-28,76.090,75.340,76.360,75.000
2026-01-29,75.700,77.880,78.080,75.470
2026-01-30,77.600,77.590,79.000,77.400
2026-02-02,77.600,77.850,78.480,77.000
2026-02-03,77.800,77.910,78.890,77.430
2026-02-04,78.100,79.810,79.880,78.010
2026-02-05,79.830,80.450,81.160,79.630
2026-02-06,80.430,79.540,80.800,79.400
2026-02-09,79.180,79.160,79.340,78.410
2026-02-10,79.210,80.190,80.280,78.880
2026-02-11,80.000,79.690,80.210,79.600
2026-02-12,79.460,79.800,80.060,79.300
2026-02-13,79.510,79.050,80.000,78.910
2026-02-24,80.200,79.520,80.600,79.520
2026-02-25,80.280,79.700,80.770,79.290
2026-02-26,80.150,79.250,80.200,78.750
2026-02-27,79.030,78.640,79.500,78.500
2026-03-02,78.000,77.450,78.060,76.700
2026-03-03,77.460,76.560,77.640,76.500
2026-03-04,76.000,76.160,76.520,75.370
2026-03-05,76.600,76.270,76.990,76.120
2026-03-06,76.220,76.520,76.720,75.760
